doc_name,short_summary,question,answer
2.txt,Maintaining law and order in the province is the responsibility of the state legislature Public tranquillity and order are affected by anything that disturbs public tranquillity or security of the state Public safety is equivalent to security of the State.,What is the relationship between public safety and security of the state?,Public safety is equivalent to security of the State.
2.txt,"The argument advanced on behalf of the petitioners is that since the Act has been passed in exercise of the power granted by the expression ""public order,"" used in the Government of India Act, which is a general term of wide import, and since it purports to provide for the maintenance of public order, its provisions are intended or are liable to be used for all cases of breaches of public order, be they small or insig nificant breaches or those of a grave or serious nature This is, in my opinion, approaching the case from a wrong angle The Act is a piece of special legislation providing for special measures and the central idea dominating it is public safety and maintenance of public order in a situation requiring special measures.",What are the special measures?,
2.txt,"The argument advanced on behalf of the petitioners is that since the Act has been passed in exercise of the power granted by the expression ""public order,"" used in the Government of India Act, which is a general term of wide import, and since it purports to provide for the maintenance of public order, its provisions are intended or are liable to be used for all cases of breaches of public order, be they small or insig nificant breaches or those of a grave or serious nature This is, in my opinion, approaching the case from a wrong angle The Act is a piece of special legislation providing for special measures and the central idea dominating it is public safety and maintenance of public order in a situation requiring special measures.",What is the central idea?,The central idea is public safety and maintenance of public order in a situation requiring special measures.
2.txt,"The argument advanced on behalf of the petitioners is that since the Act has been passed in exercise of the power granted by the expression ""public order,"" used in the Government of India Act, which is a general term of wide import, and since it purports to provide for the maintenance of public order, its provisions are intended or are liable to be used for all cases of breaches of public order, be they small or insig nificant breaches or those of a grave or serious nature This is, in my opinion, approaching the case from a wrong angle The Act is a piece of special legislation providing for special measures and the central idea dominating it is public safety and maintenance of public order in a situation requiring special measures.",What is the correct approach to the case?,The correct approach to the case is to read the Act as a whole and not to focus on specific provisions.
2.txt,"The learned Chief Justice held that the test laid down by him was not applicable in India where the offence under section 124A of the Indian Penal Code should be construed with reference to the words used in that section The decision of Gwyer C.J held the field for several years until the Privy Council, dealing with a case under the Defence of India Rules, expressed the view in King Emper or vs Sadashiv Narayan Bhalerao(3) that the test laid down by the learned Chief Justice was not applicable in India where the offence under section 124A of the Indian Penal Code should be construed with reference to the words used in that section They also added : ""The word sedition  does not occur either in section 124A or in the Rule; it is only found as a marginal note to section 124A, and is not an operative part of the section, but merely provides the name by which the crime defined in the section will be known (1) [1868] 11 Cox c.c 44 (2) [1886] 16 cox 855.",What was the decision of Gwyer C.J.?,Gwyer C.J. held that the test laid down by him was not applicable in India where the offence under section 124A of the Indian Penal Code should be construed with reference to the words used in that section.
2.txt,"The learned Chief Justice held that the test laid down by him was not applicable in India where the offence under section 124A of the Indian Penal Code should be construed with reference to the words used in that section The decision of Gwyer C.J held the field for several years until the Privy Council, dealing with a case under the Defence of India Rules, expressed the view in King Emper or vs Sadashiv Narayan Bhalerao(3) that the test laid down by the learned Chief Justice was not applicable in India where the offence under section 124A of the Indian Penal Code should be construed with reference to the words used in that section They also added : ""The word sedition  does not occur either in section 124A or in the Rule; it is only found as a marginal note to section 124A, and is not an operative part of the section, but merely provides the name by which the crime defined in the section will be known (1) [1868] 11 Cox c.c 44 (2) [1886] 16 cox 855.",Is the learned Chief Justice's test applicable in India?,No
2.txt,"The context is other, and not capable of being marked off by perfectly definite boundaries All of them have in common one feature, namely, that the normal tranquillity of a civilised society is in each of the cases mentioned disturbed either by actual force or at least by the show and threat of it Another class of offences against public tranquillity are those in which no actual force is either employed or displayed, but in which steps are taken tending to cause it These are the formation of secret societies, seditious conspiracies, libels or words spoken Under these two heads all offences against the internal public tranquillity of the State may be arranged "" This passage brings out two matters with remarkable clarity.","What is meant by ""internal public tranquillity of the State""?","The internal public tranquillity of the State means the general level of social order and civilisation within the State, including the political, economic, social, and cultural aspects."
2.txt,"The context is other, and not capable of being marked off by perfectly definite boundaries All of them have in common one feature, namely, that the normal tranquillity of a civilised society is in each of the cases mentioned disturbed either by actual force or at least by the show and threat of it Another class of offences against public tranquillity are those in which no actual force is either employed or displayed, but in which steps are taken tending to cause it These are the formation of secret societies, seditious conspiracies, libels or words spoken Under these two heads all offences against the internal public tranquillity of the State may be arranged "" This passage brings out two matters with remarkable clarity.","What is meant by ""offences against the internal public tranquillity of the State""?","""This passage brings out two matters with remarkable clarity."""
2.txt,"The context is other, and not capable of being marked off by perfectly definite boundaries All of them have in common one feature, namely, that the normal tranquillity of a civilised society is in each of the cases mentioned disturbed either by actual force or at least by the show and threat of it Another class of offences against public tranquillity are those in which no actual force is either employed or displayed, but in which steps are taken tending to cause it These are the formation of secret societies, seditious conspiracies, libels or words spoken Under these two heads all offences against the internal public tranquillity of the State may be arranged "" This passage brings out two matters with remarkable clarity.","What is meant by ""public tranquillity""?","The public tranquillity is the state of a society where there is no disorder, violence, or anarchy."
2.txt,The context is a threat to public law and order The action which it is proposed to take against the petitioners is necessary for the purpose of preventing or combating activities prejudi cial to public safety or the maintenance of public order.,Is the petitioner's action proportionate to the problem?,Yes
2.txt,The context is a threat to public law and order The action which it is proposed to take against the petitioners is necessary for the purpose of preventing or combating activities prejudi cial to public safety or the maintenance of public order.,Is the petitioner's action necessary for the purpose of preventing or combating activities prejudi cial to public safety or the maintenance of public order?,Yes
2.txt,The context is a threat to public law and order The action which it is proposed to take against the petitioners is necessary for the purpose of preventing or combating activities prejudi cial to public safety or the maintenance of public order.,Is the petitioner's action effective?,Yes
2.txt,The context is a threat to public law and order The action which it is proposed to take against the petitioners is necessary for the purpose of preventing or combating activities prejudi cial to public safety or the maintenance of public order.,Is the petitioner's action worth the cost?,Yes
2.txt,The context is a threat to public law and order The action which it is proposed to take against the petitioners is necessary for the purpose of preventing or combating activities prejudi cial to public safety or the maintenance of public order.,Is the petitioner's action prejudicial to public safety or the maintenance of public order?,Yes
